,FOLD NUM,MEAN ERROR
0,2,-3.156363177433732e-06
1,3,-3.1682521592808067e-06
2,4,-3.1573860584874485e-06
3,5,-3.168721015165281e-06
4,6,-3.164398560785279e-06
5,7,-3.1637098964556984e-06
6,8,-3.165100618828823e-06
7,9,-3.1683009677700534e-06
8,10,-3.1668664372856333e-06
9,11,-3.165946066900104e-06
10,12,-3.1675857489747235e-06
11,13,-3.1686609174881373e-06
12,14,-3.164797702399943e-06
13,15,-3.170369310927235e-06
14,16,-3.1695366691954734e-06
15,17,-3.1679607317946308e-06
16,18,-3.1680245800428067e-06
17,19,-3.1678593601502723e-06
18,20,-3.1676071612678327e-06
19,21,-3.1676488734496793e-06
20,22,-3.1720000057370163e-06
21,23,-3.171670327051389e-06
22,24,-3.172303994436492e-06
23,25,-3.170098178473087e-06
24,26,-3.1696663874644003e-06
25,27,-3.16888420782877e-06
26,28,-3.1697817561578336e-06
27,29,-3.1680982393849467e-06
